Unnamed: 0,Unnamed: 1,Unnamed: 2,Deck,Length,Original number,Stand,Finger,Onshore length,Diff,Unnamed: 10,Unnamed: 11,Deck.1,Length.1,Original number.1,Unnamed: 15,Unnamed: 16,Onshore length.1,Diff.1,Unnamed: 19,Deck.2,Length.2,Original number.2,Onshore length.2,Diff.2,Comment
,,,232,11.801,68,1.0,6/7,11.801,0.0,,,257.0,11.859,1.0,Dbl1,14/5,11.859,0.0,,267.0,11.619,29.0,11.619,0.0,x
,,,231,11.171,69,,,11.171,0.0,,,258.0,11.991,26.0,,,11.991,0.0,,274.0,12.164,136.0,12.164,0.0,riser deck
,,,230,11.87,67,,,11.87,0.0,,,259.0,11.91,21.0,Dbl2,14/4,11.91,0.0,,268.0,11.931,30.0,11.931,0.0,x
,,,229,11.827,65,2.0,7/7,11.827,0.0,,,260.0,11.914,22.0,2,7/7,11.914,0.0,,273.0,11.857,132.0,11.857,0.0,x
,,,228,11.827,66,,,11.827,0.0,,,261.0,12.015,32.0,Dbl3,14/3,12.014999999999999,0.0,,272.0,11.915,128.0,11.915,0.0,x
,,,227,12.165,141,,,12.165,0.0,,,262.0,11.452,24.0,,,11.452,0.0,,271.0,12.002,131.0,12.001999999999999,0.0,riser deck
,,,226,12.274,160,3.0,8/7,12.274,0.0,,,265.0,11.709,33.0,Dbl4,14/2,11.709,0.0,,270.0,11.992,129.0,11.991999999999999,0.0,riser deck
,,,225,11.91,63,,,11.91,0.0,,,266.0,11.824,31.0,,,11.834,0.009999999999999787,,267.0,11.99,130.0,11.99,0.0,x
,,,224,11.895,64,,,11.895,0.0,,,,,,,,,,,,11.828,15.0,11.828,0.0,
,,,223,11.904,62,4.0,9/7,11.904,0.0,,,,,,,,,,,,11.988,14.0,11.988,0.0,
,,,222,11.981,60,,,11.891,-0.08999999999999986,,,,,,,,,,,,11.783,41.0,11.783,0.0,
,,,221,11.905,61,,,11.905,0.0,,,,,,,,,,,,11.798,39.0,11.798,0.0,
,,,220,11.814,58,5.0,10/7,11.814,0.0,,,,,,,,,,,,,23.0,11.747,,pipe deck
,,,219,11.886,59,,,11.886,0.0,,,,,,,,,,,,,25.0,11.99,,pipe deck
,,,218,11.944,57,,,11.943999999999999,0.0,,,,,,,,,,,,,94.0,12.004999999999999,,pipe deck
,,,217,11.666,83,6.0,11/7,11.665999999999999,0.0,,,,,,,,,,,,,133.0,12.179,,pipe deck
,,,216,11.913,56,,,11.913,0.0,,,,,,,,,,,,,134.0,12.18,,pipe deck
,,,215,12.002,113,,,12.001999999999999,0.0,,,,,,,,,,,,,135.0,12.17,,pipe deck
,,,214,12.011,114,7.0,12/7,12.011,0.0,,,,,,,,,,,,,137.0,12.163,,pipe deck
,,,213,11.714,112,,,11.713999999999999,0.0,,,,,,,,,,,,,142.0,12.035,,pipe deck
,,,212,11.918,110,,,11.918,0.0,,,,,,,,,,,,,148.0,12.189,,pipe deck
,,,211,11.915,111,8.0,13/7,11.915,0.0,,,,,,,,,,,,,154.0,12.277,,pipe deck
,,,210,11.676,81,,,11.676,0.0,,,,,,,,,,,,,166.0,12.161,,pipe deck
,,,209,11.77,82,,,11.77,0.0,,,,,,,,,,,,,168.0,12.158999999999999,,pipe deck
,,,208,11.867,80,9.0,6/6,11.866999999999999,0.0,,,,,,,,,,,,,,,,
,,,207,11.905,78,,,11.905,0.0,,,,,,,,,,,,,,,,
,,,206,11.743,79,,,11.743,0.0,,,,,,,,,,,,,,,,
,,,205,12.171,178,10.0,7/6,12.171,0.0,,,,,,,,,,,,,,,,
,,,204,12.166,158,,,12.165999999999999,0.0,,,,,,,,,,,,,,,,
,,,203,12.181,177,,,12.181,0.0,,,,,,,,,,,,,,,,
,,,202,12.016,175,11.0,8/6,12.016,0.0,,,,,,,,,,,,,,,,
,,,201,12.116,176,,,12.116,0.0,,,,,,,,,,,,,,,,
,,,200,12.185,152,,,12.184999999999999,0.0,,,,,,,,,,,,,,,,
,,,199,12.177,153,12.0,9/6,12.177,0.0,,,,,,,,,,,,,,,,
,,,198,12.172,151,,,12.171999999999999,0.0,,,,,,,,,,,,,,,,
,,,197,11.919,149,,,11.918999999999999,0.0,,,,,,,,,,,,,,,,
,,,196,12.182,150,13.0,10/6,12.181999999999999,0.0,,,,,,,,,,,,,,,,
,,,195,12.19,174,,,12.19,0.0,,,,,,,,,,,,,,,,
,,,194,11.922,179,,,11.921999999999999,0.0,,,,,,,,,,,,,,,,
,,,193,12.157,172,14.0,11/6,12.157,0.0,,,,,,,,,,,,,,,,
,,,192,12.181,173,,,12.181,0.0,,,,,,,,,,,,,,,,
,,,191,11.995,182,,,11.995,0.0,,,,,,,,,,,,,,,,
,,,190,11.625,180,15.0,12/6,11.625,0.0,,,,,,,,,,,,,,,,
,,,189,11.933,181,,,11.933,0.0,,,,,,,,,,,,,,,,
,,,188,11.992,123,,,11.991999999999999,0.0,,,,,,,,,,,,,,,,
,,,187,12.015,124,16.0,13/6,12.014999999999999,0.0,,,,,,,,,,,,,,,,
,,,186,12.182,140,,,12.181999999999999,0.0,,,,,,,,,,,,,,,,
,,,185,12.18,138,,,12.18,0.0,,,,,,,,,,,,,,,,
,,,184,12.178,139,17.0,6/5,12.177999999999999,0.0,,,,,,,,,,,,,,,,
,,,183,12.002,88,,,12.001999999999999,0.0,,,,,,,,,,,,,,,,
,,,182,11.862,89,,,11.862,0.0,,,,,,,,,,,,,,,,
,,,181,11.835,87,18.0,7/5,11.834999999999999,0.0,,,,,,,,,,,,,,,,
,,,180,12.002,85,,,12.001999999999999,0.0,,,,,,,,,,,,,,,,
,,,179,12.005,86,,,12.004999999999999,0.0,,,,,,,,,,,,,,,,
,,,174,12.271,157,19.0,8/5,12.270999999999999,0.0,,,,,,,,,,,,,,,,
,,,175,12.167,147,,,12.167,0.0,,,,,,,,,,,,,,,,
,,,173,12.164,146,,,12.164,0.0,,,,,,,,,,,,,,,,
,,,171,11.858,121,20.0,9/5,11.857999999999999,0.0,,,,,,,,,,,,,,,,
,,,172,12.173,145,,,12.173,0.0,,,,,,,,,,,,,,,,
,,,170,11.389,122,,,11.389,0.0,,,,,,,,,,,,,,,,
,,,168,12.009,118,21.0,10/5,12.008999999999999,0.0,,,,,,,,,,,,,,,,
,,,169,11.435,120,,,11.434999999999999,0.0,,,,,,,,,,,,,,,,
,,,167,11.882,119,,,11.882,0.0,,,,,,,,,,,,,,,,
,,,165,12.008,117,22.0,11/5,12.008,0.0,,,,,,,,,,,,,,,,
,,,166,11.997,116,,,11.997,0.0,,,,,,,,,,,,,,,,
,,,164,11.913,127,,,11.913,0.0,,,,,,,,,,,,,,,,
,,,162,11.867,126,23.0,12/5,11.866999999999999,0.0,,,,,,,,,,,,,,,,
,,,163,11.878,125,,,11.878,0.0,,,,,,,,,,,,,,,,
,,,161,12.179,143,,,12.179,0.0,,,,,,,,,,,,,,,,
,,,160,12.171,144,24.0,13/5,12.171,0.0,,,,,,,,,,,,,,,,
,,,159,11.918,71,,,11.918,0.0,,,,,,,,,,,,,,,,
,,,158,11.835,72,,,11.834999999999999,0.0,,,,,,,,,,,,,,,,
,,,157,11.916,70,25.0,6/4,11.915999999999999,0.0,,,,,,,,,,,,,,,,
,,,156,12.013,95,,,12.013,0.0,,,,,,,,,,,,,,,,
,,,155,11.819,96,,,11.818999999999999,0.0,,,,,,,,,,,,,,,,
,,,154,11.518,77,26.0,7/4,11.517999999999999,0.0,,,,,,,,,,,,,,,,
,,,153,11.854,73,,,11.854,0.0,,,,,,,,,,,,,,,,
,,,152,11.787,76,,,11.786999999999999,0.0,,,,,,,,,,,,,,,,
,,,151,11.789,74,27.0,8/4,11.789,0.0,,,,,,,,,,,,,,,,
,,,150,11.947,75,,,11.947,0.0,,,,,,,,,,,,,,,,
,,,149,12.164,155,,,12.164,0.0,,,,,,,,,,,,,,,,
,,,148,12.153,156,28.0,9/4,12.152999999999999,0.0,,,,,,,,,,,,,,,,
,,,147,12.165,171,,,12.165,0.0,,,,,,,,,,,,,,,,
,,,146,12.161,169,,,12.161,0.0,,,,,,,,,,,,,,,,
,,,145,12.159,170,29.0,10/4,12.158999999999999,0.0,,,,,,,,,,,,,,,,
,,,144,11.806,45,,,11.806,0.0,,,,,,,,,,,,,,,,
,,,143,11.891,46,,,11.891,0.0,,,,,,,,,,,,,,,,
,,,142,11.927,44,30.0,11/4,11.927,0.0,,,,,,,,,,,,,,,,
,,,141,11.894,42,,,11.894,0.0,,,,,,,,,,,,,,,,
